"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-1.86456129e-01,1.21805504e-04,0.00000000e+00,5.00000000e-01,5.70000000e-02,0.00000000e+00
-1.89142808e-01,6.21407380e-05,0.00000000e+00,5.00000000e-01,5.79999983e-02,0.00000000e+00
-1.91804856e-01,-8.07182175e-07,0.00000000e+00,5.00000000e-01,5.90000004e-02,0.00000000e+00
-1.94429398e-01,-6.87518477e-05,0.00000000e+00,5.00000000e-01,5.99999987e-02,0.00000000e+00
-1.97053954e-01,-1.36696763e-04,0.00000000e+00,5.00000000e-01,6.10000007e-02,0.00000000e+00
-1.99678481e-01,-2.04641430e-04,0.00000000e+00,5.00000000e-01,6.19999990e-02,0.00000000e+00
-2.02303037e-01,-2.72586360e-04,0.00000000e+00,5.00000000e-01,6.30000010e-02,0.00000000e+00
-2.04927579e-01,-3.40531260e-04,0.00000000e+00,5.00000000e-01,6.40000030e-02,0.00000000e+00
-2.07546443e-01,-4.08781227e-04,0.00000000e+00,5.00000000e-01,6.49999976e-02,0.00000000e+00
-2.10118771e-01,-4.79543640e-04,0.00000000e+00,5.00000000e-01,6.59999996e-02,0.00000000e+00
-2.12691084e-01,-5.50306053e-04,0.00000000e+00,5.00000000e-01,6.70000017e-02,0.00000000e+00
-2.15263411e-01,-6.21068408e-04,0.00000000e+00,5.00000000e-01,6.80000037e-02,0.00000000e+00
-2.17835709e-01,-6.91830297e-04,0.00000000e+00,5.00000000e-01,6.89999983e-02,0.00000000e+00
-2.20408037e-01,-7.62592710e-04,0.00000000e+00,5.00000000e-01,7.00000003e-02,0.00000000e+00
-2.22980365e-01,-8.33355123e-04,0.00000000e+00,5.00000000e-01,7.10000023e-02,0.00000000e+00
-2.25521430e-01,-9.02282249e-04,0.00000000e+00,5.00000000e-01,7.19999969e-02,0.00000000e+00
-2.28044957e-01,-9.70177702e-04,0.00000000e+00,5.00000000e-01,7.29999989e-02,0.00000000e+00
-2.30568483e-01,-1.03807310e-03,0.00000000e+00,5.00000000e-01,7.40000010e-02,0.00000000e+00
-2.33091995e-01,-1.10596849e-03,0.00000000e+00,5.00000000e-01,7.50000030e-02,0.00000000e+00
-2.35615507e-01,-1.17386342e-03,0.00000000e+00,5.00000000e-01,7.59999976e-02,0.00000000e+00
-2.38139018e-01,-1.24175882e-03,0.00000000e+00,5.00000000e-01,7.69999996e-02,0.00000000e+00
-2.40662545e-01,-1.30965421e-03,0.00000000e+00,5.00000000e-01,7.80000016e-02,0.00000000e+00
-2.43133694e-01,-1.36941753e-03,0.00000000e+00,5.00000000e-01,7.90000036e-02,0.00000000e+00
-2.45604083e-01,-1.42906362e-03,0.00000000e+00,5.00000000e-01,7.99999982e-02,0.00000000e+00
-2.48074487e-01,-1.48871006e-03,0.00000000e+00,5.00000000e-01,8.10000002e-02,0.00000000e+00
-2.50544876e-01,-1.54835661e-03,0.00000000e+00,5.00000000e-01,8.20000023e-02,0.00000000e+00
-2.53015280e-01,-1.60800270e-03,0.00000000e+00,5.00000000e-01,8.29999968e-02,0.00000000e+00
-2.55485654e-01,-1.66764925e-03,0.00000000e+00,5.00000000e-01,8.39999989e-02,0.00000000e+00
-2.57946789e-01,-1.72547961e-03,0.00000000e+00,5.00000000e-01,8.50000009e-02,0.00000000e+00
-2.60351300e-01,-1.77222735e-03,0.00000000e+00,5.00000000e-01,8.60000029e-02,0.00000000e+00
-2.62755781e-01,-1.81897474e-03,0.00000000e+00,5.00000000e-01,8.69999975e-02,0.00000000e+00
-2.65160292e-01,-1.86572259e-03,0.00000000e+00,5.00000000e-01,8.79999995e-02,0.00000000e+00
-2.67564803e-01,-1.91247032e-03,0.00000000e+00,5.00000000e-01,8.90000015e-02,0.00000000e+00
-2.69969314e-01,-1.95921795e-03,0.00000000e+00,5.00000000e-01,9.00000036e-02,0.00000000e+00
-2.72373825e-01,-2.00596545e-03,0.00000000e+00,5.00000000e-01,9.09999982e-02,0.00000000e+00
-2.74769694e-01,-2.05107243e-03,0.00000000e+00,5.00000000e-01,9.20000002e-02,0.00000000e+00
-2.77087212e-01,-2.08129967e-03,0.00000000e+00,5.00000000e-01,9.30000022e-02,0.00000000e+00
-2.79404700e-01,-2.11152690e-03,0.00000000e+00,5.00000000e-01,9.39999968e-02,0.00000000e+00
-2.81722218e-01,-2.14175414e-03,0.00000000e+00,5.00000000e-01,9.49999988e-02,0.00000000e+00
-2.84039736e-01,-2.17198161e-03,0.00000000e+00,5.00000000e-01,9.60000008e-02,0.00000000e+00
-2.86357254e-01,-2.20220885e-03,0.00000000e+00,5.00000000e-01,9.70000029e-02,0.00000000e+00
-2.88674772e-01,-2.23243609e-03,0.00000000e+00,5.00000000e-01,9.79999974e-02,0.00000000e+00
-2.90992290e-01,-2.26266333e-03,0.00000000e+00,5.00000000e-01,9.89999995e-02,0.00000000e+00
-2.93211132e-01,-2.27665529e-03,0.00000000e+00,5.00000000e-01,1.00000001e-01,0.00000000e+00
-2.95413315e-01,-2.28791125e-03,0.00000000e+00,5.00000000e-01,1.01000004e-01,0.00000000e+00
-2.97615528e-01,-2.29916722e-03,0.00000000e+00,5.00000000e-01,1.01999998e-01,0.00000000e+00
-2.99817741e-01,-2.31042318e-03,0.00000000e+00,5.00000000e-01,1.03000000e-01,0.00000000e+00
-3.02019954e-01,-2.32167915e-03,0.00000000e+00,5.00000000e-01,1.04000002e-01,0.00000000e+00
-3.04222137e-01,-2.33293488e-03,0.00000000e+00,5.00000000e-01,1.04999997e-01,0.00000000e+00
-3.06424350e-01,-2.34419084e-03,0.00000000e+00,5.00000000e-01,1.05999999e-01,0.00000000e+00
-3.08566213e-01,-2.34726537e-03,0.00000000e+00,5.00000000e-01,1.07000001e-01,0.00000000e+00
-3.10619205e-01,-2.33828975e-03,0.00000000e+00,5.00000000e-01,1.08000003e-01,0.00000000e+00
-3.12672168e-01,-2.32931413e-03,0.00000000e+00,5.00000000e-01,1.08999997e-01,0.00000000e+00
-3.14725131e-01,-2.32033851e-03,0.00000000e+00,5.00000000e-01,1.09999999e-01,0.00000000e+00
-3.16778123e-01,-2.31136288e-03,0.00000000e+00,5.00000000e-01,1.11000001e-01,0.00000000e+00
-3.18831086e-01,-2.30238726e-03,0.00000000e+00,5.00000000e-01,1.12000003e-01,0.00000000e+00
-3.20884049e-01,-2.29341188e-03,0.00000000e+00,5.00000000e-01,1.12999998e-01,0.00000000e+00
-3.22937042e-01,-2.28443625e-03,0.00000000e+00,5.00000000e-01,1.14000000e-01,0.00000000e+00
-3.24852169e-01,-2.26040883e-03,0.00000000e+00,5.00000000e-01,1.15000002e-01,0.00000000e+00
-3.26718628e-01,-2.23107077e-03,0.00000000e+00,5.00000000e-01,1.15999997e-01,0.00000000e+00
-3.28585118e-01,-2.20173248e-03,0.00000000e+00,5.00000000e-01,1.16999999e-01,0.00000000e+00
-3.30451578e-01,-2.17239396e-03,0.00000000e+00,5.00000000e-01,1.18000001e-01,0.00000000e+00
-3.32318068e-01,-2.14305567e-03,0.00000000e+00,5.00000000e-01,1.19000003e-01,0.00000000e+00
-3.34184527e-01,-2.11371761e-03,0.00000000e+00,5.00000000e-01,1.19999997e-01,0.00000000e+00
-3.36051017e-01,-2.08437932e-03,0.00000000e+00,5.00000000e-01,1.20999999e-01,0.00000000e+00
-3.37917507e-01,-2.05504079e-03,0.00000000e+00,5.00000000e-01,1.22000001e-01,0.00000000e+00
