"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-2.12208345e-03,2.67039329e-01,0.00000000e+00,5.79999983e-02,5.00000000e-01,0.00000000e+00
-2.33226828e-03,2.69369543e-01,0.00000000e+00,5.90000004e-02,5.00000000e-01,0.00000000e+00
-2.56276107e-03,2.71524757e-01,0.00000000e+00,5.99999987e-02,5.00000000e-01,0.00000000e+00
-2.79325480e-03,2.73680001e-01,0.00000000e+00,6.10000007e-02,5.00000000e-01,0.00000000e+00
-3.02374759e-03,2.75835246e-01,0.00000000e+00,6.19999990e-02,5.00000000e-01,0.00000000e+00
-3.25424131e-03,2.77990490e-01,0.00000000e+00,6.30000010e-02,5.00000000e-01,0.00000000e+00
-3.48473480e-03,2.80145735e-01,0.00000000e+00,6.40000030e-02,5.00000000e-01,0.00000000e+00
-3.71812074e-03,2.82274842e-01,0.00000000e+00,6.49999976e-02,5.00000000e-01,0.00000000e+00
-3.97530152e-03,2.84189373e-01,0.00000000e+00,6.59999996e-02,5.00000000e-01,0.00000000e+00
-4.23248252e-03,2.86103874e-01,0.00000000e+00,6.70000017e-02,5.00000000e-01,0.00000000e+00
-4.48966352e-03,2.88018405e-01,0.00000000e+00,6.80000037e-02,5.00000000e-01,0.00000000e+00
-4.74684266e-03,2.89932907e-01,0.00000000e+00,6.89999983e-02,5.00000000e-01,0.00000000e+00
-5.00402320e-03,2.91847408e-01,0.00000000e+00,7.00000003e-02,5.00000000e-01,0.00000000e+00
-5.26120421e-03,2.93761939e-01,0.00000000e+00,7.10000023e-02,5.00000000e-01,0.00000000e+00
-5.53068845e-03,2.95549154e-01,0.00000000e+00,7.19999969e-02,5.00000000e-01,0.00000000e+00
-5.80709707e-03,2.97264814e-01,0.00000000e+00,7.29999989e-02,5.00000000e-01,0.00000000e+00
-6.08350569e-03,2.98980445e-01,0.00000000e+00,7.40000010e-02,5.00000000e-01,0.00000000e+00
-6.35991478e-03,3.00696075e-01,0.00000000e+00,7.50000030e-02,5.00000000e-01,0.00000000e+00
-6.63632154e-03,3.02411705e-01,0.00000000e+00,7.59999976e-02,5.00000000e-01,0.00000000e+00
-6.91273017e-03,3.04127336e-01,0.00000000e+00,7.69999996e-02,5.00000000e-01,0.00000000e+00
-7.18913926e-03,3.05842996e-01,0.00000000e+00,7.80000016e-02,5.00000000e-01,0.00000000e+00
-7.47732539e-03,3.07394236e-01,0.00000000e+00,7.90000036e-02,5.00000000e-01,0.00000000e+00
-7.76567869e-03,3.08943123e-01,0.00000000e+00,7.99999982e-02,5.00000000e-01,0.00000000e+00
-8.05403385e-03,3.10492009e-01,0.00000000e+00,8.10000002e-02,5.00000000e-01,0.00000000e+00
-8.34238902e-03,3.12040895e-01,0.00000000e+00,8.20000023e-02,5.00000000e-01,0.00000000e+00
-8.63074232e-03,3.13589782e-01,0.00000000e+00,8.29999968e-02,5.00000000e-01,0.00000000e+00
-8.91909748e-03,3.15138668e-01,0.00000000e+00,8.39999989e-02,5.00000000e-01,0.00000000e+00
-9.20820702e-03,3.16667110e-01,0.00000000e+00,8.50000009e-02,5.00000000e-01,0.00000000e+00
-9.50191915e-03,3.18070710e-01,0.00000000e+00,8.60000029e-02,5.00000000e-01,0.00000000e+00
-9.79562849e-03,3.19474250e-01,0.00000000e+00,8.69999975e-02,5.00000000e-01,0.00000000e+00
-1.00893406e-02,3.20877850e-01,0.00000000e+00,8.79999995e-02,5.00000000e-01,0.00000000e+00
-1.03830518e-02,3.22281420e-01,0.00000000e+00,8.90000015e-02,5.00000000e-01,0.00000000e+00
-1.06767640e-02,3.23684990e-01,0.00000000e+00,9.00000036e-02,5.00000000e-01,0.00000000e+00
-1.09704733e-02,3.25088561e-01,0.00000000e+00,9.09999982e-02,5.00000000e-01,0.00000000e+00
-1.12641612e-02,3.26478809e-01,0.00000000e+00,9.20000002e-02,5.00000000e-01,0.00000000e+00
-1.15576321e-02,3.27747971e-01,0.00000000e+00,9.30000022e-02,5.00000000e-01,0.00000000e+00
-1.18511012e-02,3.29017133e-01,0.00000000e+00,9.39999968e-02,5.00000000e-01,0.00000000e+00
-1.21445730e-02,3.30286294e-01,0.00000000e+00,9.49999988e-02,5.00000000e-01,0.00000000e+00
-1.24380440e-02,3.31555486e-01,0.00000000e+00,9.60000008e-02,5.00000000e-01,0.00000000e+00
-1.27315149e-02,3.32824647e-01,0.00000000e+00,9.70000029e-02,5.00000000e-01,0.00000000e+00
-1.30249839e-02,3.34093809e-01,0.00000000e+00,9.79999974e-02,5.00000000e-01,0.00000000e+00
-1.33184558e-02,3.35362971e-01,0.00000000e+00,9.89999995e-02,5.00000000e-01,0.00000000e+00
-1.36078671e-02,3.36518705e-01,0.00000000e+00,1.00000001e-01,5.00000000e-01,0.00000000e+00
